hedge_fund,date,市值,加碼,減碼,XIRR
Millennium Management,2014-02-14,13585928200866.582,0.0,0.0,0.0
Millennium Management,2014-05-15,7435568098128.81,12413407098.519999,1349551174343.7917,-0.8303226330327289
Millennium Management,2014-08-14,124024402800.88013,61257791822.019966,11099775787.329996,
Millennium Management,2014-11-14,34082632344.260002,7659712576.330004,11807477054.440002,
Millennium Management,2015-02-17,55131289452.58996,29189476834.02,7579716379.829998,
Millennium Management,2015-05-15,141808311589.66998,13976054983.869993,18004561670.989994,
Millennium Management,2015-08-14,1229220487647.183,36264078598.520004,29255288032.85003,
Millennium Management,2015-11-16,43961909039.649994,11069887673.470007,11937483629.19,
Millennium Management,2016-02-16,29054635019.979984,8081134059.500003,10773665068.109997,
Millennium Management,2016-05-16,29500551052.38,7658463160.759996,12861876175.980001,
Millennium Management,2016-08-15,32644650234.98998,11114865711.58,9767035627.099998,
Millennium Management,2016-11-14,43365834519.08,18285019284.42999,8349844733.509997,
Millennium Management,2017-02-14,52613624167.68002,22784524809.429996,11146190863.429989,
Millennium Management,2017-05-15,649852809538.1099,12388023446.499998,14851034672.310001,-0.5949954717914433
Millennium Management,2017-08-14,120769866682.62997,12748747460.739994,14277283948.840006,
Millennium Management,2017-11-14,140474450536.15018,15628656677.769993,12105953564.590006,
Millennium Management,2018-02-14,85430892304.72,17161179522.720015,15502143661.98998,-0.7152948251098119
Millennium Management,2018-05-15,70327095038.87003,28243789731.640015,14822278696.850002,
Millennium Management,2018-08-14,62201164596.21,16235247234.840006,24195850640.19,
Millennium Management,2018-11-14,54217817352.429985,15437062688.700003,20414955961.35001,
Millennium Management,2019-02-14,57939009599.14001,23443092406.67001,18099674208.819992,-0.6625083081603478
Millennium Management,2019-05-15,58438154485.409996,24977993478.39001,20060110960.840027,
Millennium Management,2019-08-14,68430150731.50997,40601122635.01996,23164796228.750027,
Millennium Management,2019-11-14,39301045220.38999,19341446314.169983,47311877996.229935,
Millennium Management,2020-02-14,65683051699.73009,35042059546.99,13895063448.019999,
Millennium Management,2020-05-15,21768426359.430004,5302690625.49,28882663043.660004,
Millennium Management,2020-08-14,36818516927.55003,16836098564.60999,7633335631.700003,
Millennium Management,2020-11-16,36681405979.5,11338261335.070004,15610405748.240025,
Millennium Management,2021-02-16,68205807381.100044,34248382388.609997,12445350489.519993,
Millennium Management,2021-05-17,54372043467.549934,15482003536.199991,30107840913.72004,
Millennium Management,2021-08-16,65653117564.300026,26901144751.550003,19231186540.230003,
Millennium Management,2021-11-15,72302000712.63997,23000866773.440006,20232574380.81001,
Millennium Management,2022-02-14,69732067778.90996,24439494428.15,18315038719.709988,
Millennium Management,2022-05-16,57893549285.299934,18815529732.309998,21121372964.849995,
Millennium Management,2022-08-15,70764719287.06989,27225448697.439976,17154593174.019997,
Millennium Management,2022-11-14,73084783984.38,26045919890.489986,20285465641.19999,
Millennium Management,2023-02-14,82467417771.86,29864225048.729996,22875230771.420002,
Millennium Management,2023-05-15,72362342714.45003,24007396644.229992,27422007538.379982,
Millennium Management,2023-08-14,80701151862.73012,27592852177.25,24006157264.289978,
Millennium Management,2023-11-14,81609500178.96007,26546069994.92,21435767943.250015,
Millennium Management,2024-01-09,88089696810.06996,0.0,0.0,
