hedge_fund,date,市值,加碼,減碼,XIRR
Yacktman Asset Management,2014-02-14,16934431097.869999,0.0,0.0,0.1
Yacktman Asset Management,2014-05-15,17653211175.49,203872100.24,406782529.40000004,0.23978046792893715
Yacktman Asset Management,2014-08-14,17671457337.4,142646892.55,444518040.1,0.1543362225117508
Yacktman Asset Management,2014-11-14,33247760942.819996,15837850972.56,1289681020.3200002,0.18573102891813267
Yacktman Asset Management,2015-02-17,17567461166.06,1314064493.28,16905235494.630001,0.1067823802073156
Yacktman Asset Management,2015-05-15,16482996117.130001,14225685.61,1100654742.9299998,0.08941002320128567
Yacktman Asset Management,2015-08-14,13839417863.429998,106005263.72,2045460946.1799998,0.05253968209377585
Yacktman Asset Management,2015-11-16,11865954245.830002,12052084.68,1680343945.6200001,0.037317260275842395
Yacktman Asset Management,2016-02-16,9837389710.949999,5520696.0,2183720966.1,0.03844237878521814
Yacktman Asset Management,2016-05-16,9682146497.980001,8532698.120000001,791055088.28,0.05244106872210981
Yacktman Asset Management,2016-08-15,9470000494.26,5236133.2700000005,856137896.78,0.06472506188425467
Yacktman Asset Management,2016-11-14,8570908373.79,1081088.13,745513150.1899999,0.05796343401876616
Yacktman Asset Management,2017-02-14,8220165990.929999,90902.7,609859990.15,0.06083535815551143
Yacktman Asset Management,2017-05-15,8164957846.59,50047591.5,483718453.16999996,0.06592635754744233
Yacktman Asset Management,2017-08-14,8208336406.800002,0.0,359502964.5500001,0.07094512753198022
Yacktman Asset Management,2017-11-14,8405872543.629998,16585666.86,60924263.4,0.07265911146726944
Yacktman Asset Management,2018-02-14,7533550337.7300005,678652.3999999999,781953853.3100001,0.06867128577244161
Yacktman Asset Management,2018-05-15,7011124830.7,16399848.73,449414311.82000005,0.06524048565261638
Yacktman Asset Management,2018-08-14,6547038676.34,19128611.93,883071565.3900001,0.06966789367900737
Yacktman Asset Management,2018-11-14,6778259513.49,54726847.03,161929160.84000003,0.07294760660650353
Yacktman Asset Management,2019-02-14,6589290375.410001,234088877.31,468637105.64,0.07189811152441629
Yacktman Asset Management,2019-05-15,7363451780.580001,16358902.500000002,590983374.79,0.0877276174134827
Yacktman Asset Management,2019-08-14,7363445643.71,83962471.29,481446688.15999997,0.09055539401237575
Yacktman Asset Management,2019-11-14,7400892023.27,478310430.4700001,723849059.5099999,0.09189164143540773
Yacktman Asset Management,2020-02-14,7078820563.83,166993333.25,957264238.09,0.09507156901190336
Yacktman Asset Management,2020-05-15,5516716416.230001,592943533.31,875314974.51,0.07991137871518977
Yacktman Asset Management,2020-08-14,5714245830.54,258449.66,857128093.8600001,0.08970561303085209
Yacktman Asset Management,2020-11-16,6426749930.45,226078044.63000003,50159317.6,0.093593634013968
Yacktman Asset Management,2021-02-16,7286944692.940001,336395025.68000007,445133442.0299999,0.10083354531956376
Yacktman Asset Management,2021-05-17,8460739088.150002,174834104.37,538718318.71,0.11162735878740855
Yacktman Asset Management,2021-08-16,8674810496.580002,400501052.05,267066165.39,0.11056032892948249
Yacktman Asset Management,2021-11-15,9187751326.929998,272890081.53000003,331499695.33,0.11295300441940104
Yacktman Asset Management,2022-02-14,9413654625.58,59685408.88,265498976.19999996,0.11416654401824693
Yacktman Asset Management,2022-05-16,8545508896.329998,69643649.59,454234906.28,0.10938247974833455
Yacktman Asset Management,2022-08-15,8578613958.269997,17408946.53,138781881.9,0.10893997421227648
Yacktman Asset Management,2022-11-14,9063699948.850002,593292632.8299998,728172892.47,0.11134191538644356
Yacktman Asset Management,2023-02-14,9150339787.210001,208617051.06999996,357435236.3,0.11129023768688333
Yacktman Asset Management,2023-05-15,8929120420.439999,283743992.68999994,115820857.68999998,0.10772242497955836
Yacktman Asset Management,2023-08-14,9459508215.339996,30578565.450000007,110522962.78,0.1098082007044921
Yacktman Asset Management,2023-11-14,8940956835.980001,7266509.989999999,362326251.16999996,0.1076098434714218
Donald Smith,2014-02-14,4415891014.059999,0.0,0.0,0.1
Donald Smith,2014-05-15,4951074293.890001,14729745.040000003,206675911.58,0.8555702274543842
Donald Smith,2014-08-14,5047882389.380001,894188851.72,1056268891.3900001,0.5131689563644862
Donald Smith,2014-11-14,4381414766.070001,446673113.73999995,281220037.47,0.04895606212101899
Donald Smith,2015-02-17,4419307641.690001,427313073.99999994,118512256.63999999,-0.027388875565381453
Donald Smith,2015-05-15,4521160928.7300005,53769265.89,142593892.06999996,0.013791172379211418
Donald Smith,2015-08-14,3599194814.9900002,93794423.71999998,246769075.43999997,-0.1106895021452082
Donald Smith,2015-11-16,3097993586.5299993,180971456.4,169329328.16000003,-0.1707486166231038
Donald Smith,2016-02-16,2537277674.580001,201997928.85000002,110011107.18000002,-0.24514011833361593
