hedge_fund,date,市值,加碼,減碼,XIRR
Yacktman Asset Management,2014-02-14,16934431097.87,0.0,0.0,0.0
Yacktman Asset Management,2014-05-15,17653211175.489998,203872100.24,493555891.50000006,0.26439647216012974
Yacktman Asset Management,2014-08-14,17671457337.4,142646892.54999998,531042240.09999996,0.17722779442398257
Yacktman Asset Management,2014-11-14,18040468298.789997,200671638.01999998,893642352.8100001,0.20412055236149942
Yacktman Asset Management,2015-02-17,17567461166.060005,752342702.1399999,1336309358.82,0.1568070793672424
Yacktman Asset Management,2015-05-15,16482996117.130003,104507485.61,1101441833.13,0.12272785002778501
Yacktman Asset Management,2015-08-14,13839417863.43,106005263.72,2240776171.3300004,0.08278838694093942
Yacktman Asset Management,2015-11-16,11865954245.83,12521443.08,1854911322.93,0.0680267404920796
Yacktman Asset Management,2016-02-16,9837389710.949999,89564562.60000001,2184155071.1,0.06380339502807951
Yacktman Asset Management,2016-05-16,9682146497.979998,8532698.120000001,791689439.4799999,0.07765485391093882
Yacktman Asset Management,2016-08-15,9470000494.26,5236133.27,856137896.78,0.08964723496826298
Yacktman Asset Management,2016-11-14,8570908373.79,1343234.19,745513150.1899999,0.08090128833755213
Yacktman Asset Management,2017-02-14,8220165990.929999,2504875.5,644590170.15,0.08367992375415167
Yacktman Asset Management,2017-05-15,8164957846.590001,50047591.5,486204151.7700001,0.08828701340789552
Yacktman Asset Management,2017-08-14,8208336406.800003,125869363.77,359502964.55,0.09033265538499281
Yacktman Asset Management,2017-11-14,8405872543.63,16855449.36,60924263.4,0.09146470976393797
Yacktman Asset Management,2018-02-14,7533550337.73,1826022.1099999999,935432456.51,0.08923828947334124
Yacktman Asset Management,2018-05-15,7011124830.7,17417449.02,449414311.82000005,0.0849801890263054
Yacktman Asset Management,2018-08-14,6547038676.340001,20060561.93,984700429.3400002,0.09072809466769274
Yacktman Asset Management,2018-11-14,6778259513.490001,65069079.09,161929160.84000003,0.09349852055003548
Yacktman Asset Management,2019-02-14,6589290375.41,258568727.66,468843695.64000005,0.09157811867402423
Yacktman Asset Management,2019-05-15,7363451780.580001,1078130178.37,591414602.7899997,0.09356045251202393
Yacktman Asset Management,2019-08-14,7363445643.709999,287596282.59,481446688.16000015,0.09392533183083834
Yacktman Asset Management,2019-11-14,7400892023.2699995,493357244.93000007,723849059.51,0.09516732315728049
Yacktman Asset Management,2020-02-14,7078820563.83,166993333.25000003,957264238.09,0.09866411969362139
Yacktman Asset Management,2020-05-15,5516716416.23,830139824.27,875528649.51,0.07857869109977739
